Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,xG within 5s of Crosses,xGA within 5s of Crosses,xG within 15s of Set Pieces,xGA within 15s of Set Pieces,xGD within 15s of Set Pieces,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Vertical Tendency,Opponent Vertical Tendency,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Guangxi Hengchen,1.68,0.92,0.76,1.42,0.08,1.34,0.26,0.85,-0.59,1.68,0.92,0.76,,,,,,0,1,-1,-1.76,69.8,67.28,,,51.3,1.63,0.16,364,27,18,4,11.04,25.0,7.58,4,5,33,6,9,219.4,91.72,7.8,5.69,123.73,64.19,6,Suzhou Dongwu 1-0 Guangxi Hengchen,2026-04-18
Suzhou Dongwu,0.92,1.68,-0.76,0.08,1.42,-1.34,0.85,0.26,0.59,0.92,1.68,-0.76,,,,,,1,0,1,1.76,30.2,32.72,,,43.74,0.16,1.63,120,5,4,18,25.0,11.04,13.92,5,4,7,2,13,19.8,8.28,129.2,94.31,69.03,35.81,0,Suzhou Dongwu 1-0 Guangxi Hengchen,2026-04-18
Nantong Zhiyun,0.64,0.57,0.07,0.51,0.53,-0.02,0.12,0.04,0.08,0.64,0.57,0.07,,,,,,0,0,0,-0.07,46.9,58.76,,,49.36,0.57,0.4,132,11,8,7,14.04,17.5,6.73,5,2,24,8,18,80.3,66.14,50.13,75.81,110.0,75.0,0,Shaanxi Union 0-0 Nantong Zhiyun,2026-04-18
Shaanxi Union,0.57,0.64,-0.07,0.53,0.51,0.02,0.04,0.12,-0.08,0.57,0.64,-0.07,,,,,,0,0,0,0.07,53.1,41.24,,,43.09,0.4,0.57,119,4,7,8,17.5,14.04,6.33,2,5,12,3,14,41.1,33.86,16.0,24.19,36.67,25.0,4,Shaanxi Union 0-0 Nantong Zhiyun,2026-04-18
Changchun Yatai,0.53,0.63,-0.1,0.53,0.58,-0.05,0.0,0.05,-0.05,0.53,0.63,-0.1,,,,,,3,1,2,2.1,49.7,55.7,,,50.79,0.98,0.54,139,16,5,8,5.1,14.81,6.56,2,0,16,1,22,60.8,54.58,39.4,62.41,72.6,68.28,2,Foshan Nanshi 1-3 Changchun Yatai,2026-04-18
Foshan Nanshi,0.63,0.53,0.1,0.58,0.53,0.05,0.05,0.0,0.05,0.63,0.53,0.1,,,,,,1,3,-2,-2.1,50.3,44.3,,,45.45,0.54,0.98,120,11,8,5,14.81,5.1,6.16,0,2,10,3,21,50.6,45.42,23.73,37.59,33.73,31.72,2,Foshan Nanshi 1-3 Changchun Yatai,2026-04-18
Ningbo,0.32,0.61,-0.29,0.32,0.61,-0.29,0.0,0.0,0.0,0.32,0.61,-0.29,,,,,,0,0,0,0.29,39.2,55.56,,,47.34,0.23,0.48,127,6,8,9,34.78,18.75,12.32,0,0,8,3,14,48.8,53.57,83.67,95.14,107.33,83.36,1,Yanbian Longding 0-0 Ningbo,2026-04-18
Yanbian Longding,0.61,0.32,0.29,0.61,0.32,0.29,0.0,0.0,0.0,0.61,0.32,0.29,,,,,,0,0,0,-0.29,60.8,44.44,,,40.23,0.48,0.23,129,8,9,8,18.75,34.78,7.45,0,0,15,5,14,42.3,46.43,4.27,4.86,21.43,16.64,0,Yanbian Longding 0-0 Ningbo,2026-04-18
Foshan Nanshi,0.27,1.53,-1.26,0.03,1.25,-1.22,0.25,0.28,-0.03,0.27,1.53,-1.26,,,,,,1,0,1,2.26,31.3,27.49,,,46.2,0.18,1.56,129,2,2,27,11.11,17.31,16.76,1,4,14,3,13,15.5,4.72,115.2,78.62,26.63,13.77,0,Shijiazhuang Gongfu 0-1 Foshan Nanshi,2026-04-12
Shijiazhuang Gongfu,1.53,0.27,1.26,1.25,0.03,1.22,0.28,0.25,0.03,1.53,0.27,1.26,,,,,,0,1,-1,-2.26,68.7,72.51,,,53.54,1.56,0.18,339,19,27,2,17.31,11.11,7.62,4,1,41,11,9,312.9,95.28,31.33,21.38,166.77,86.23,1,Shijiazhuang Gongfu 0-1 Foshan Nanshi,2026-04-12
Nanjing City,1.48,1.2,0.28,1.3,0.72,0.58,0.18,0.48,-0.3,1.48,1.2,0.28,,,,,,1,1,0,-0.28,35.1,27.1,,,43.37,0.63,0.99,82,8,14,17,22.22,17.17,13.24,2,4,10,4,17,28.7,16.01,78.53,85.3,46.97,36.18,1,Dingnan United 1-1 Nanjing City,2026-04-12
Dingnan United,1.2,1.48,-0.28,0.72,1.3,-0.58,0.48,0.18,0.3,1.2,1.48,-0.28,,,,,,1,1,0,0.28,64.9,72.9,,,52.72,0.99,0.63,271,18,17,14,17.17,22.22,7.13,4,2,50,17,12,150.6,83.99,13.53,14.7,82.87,63.82,2,Dingnan United 1-1 Nanjing City,2026-04-12
Yanbian Longding,0.08,1.72,-1.64,0.06,1.68,-1.62,0.02,0.04,-0.02,0.08,1.72,-1.64,,,,,,2,1,1,2.64,66.6,50.18,,,43.72,0.31,0.51,194,4,5,15,16.13,29.41,5.69,2,13,10,3,19,55.2,37.83,5.4,4.06,19.77,10.78,0,Dalian K'un City 1-2 Yanbian Longding,2026-04-12
Dalian K'un City,1.72,0.08,1.64,1.68,0.06,1.62,0.04,0.02,0.02,1.72,0.08,1.64,,,,,,1,2,-1,-2.64,33.4,49.82,,,52.85,0.51,0.31,145,12,15,5,29.41,16.13,8.03,13,2,21,6,22,90.7,62.17,127.47,95.94,163.63,89.22,1,Dalian K'un City 1-2 Yanbian Longding,2026-04-12
Guangxi Hengchen,1.42,1.97,-0.55,0.36,1.64,-1.28,0.3,0.33,-0.03,0.66,1.97,-1.31,,,,,,1,2,-1,-0.45,55.9,49.62,,,46.92,0.49,0.61,177,13,11,14,22.45,22.95,6.31,5,2,12,4,18,82.0,49.55,20.93,27.64,68.73,40.16,1,Meizhou Hakka 2-1 Guangxi Hengchen,2026-04-11
Meizhou Hakka,1.97,1.42,0.55,1.64,0.36,1.28,0.33,0.3,0.03,1.97,0.66,1.31,,,,,,2,1,1,0.45,44.1,50.38,,,47.05,0.61,0.49,147,11,14,11,22.95,22.45,8.12,2,5,27,8,11,83.5,50.45,54.8,72.36,102.4,59.84,0,Meizhou Hakka 2-1 Guangxi Hengchen,2026-04-11
Wuxi Wugou,0.34,0.66,-0.32,0.34,0.63,-0.29,0.0,0.03,-0.03,0.34,0.66,-0.32,,,,,,0,1,-1,-0.68,49.1,47.58,,,44.7,0.38,0.6,154,6,11,13,28.95,21.67,6.68,8,5,16,3,14,35.3,26.6,25.27,37.45,20.57,14.13,4,Guangdong GZ-Power 1-0 Wuxi Wugou,2026-04-11
Guangdong GZ-Power,0.66,0.34,0.32,0.63,0.34,0.29,0.03,0.0,0.03,0.66,0.34,0.32,,,,,,1,0,1,0.68,50.9,52.42,,,48.1,0.6,0.38,178,16,13,11,21.67,28.95,7.76,5,8,14,5,21,97.4,73.4,42.2,62.55,125.0,85.87,0,Guangdong GZ-Power 1-0 Wuxi Wugou,2026-04-11
Suzhou Dongwu,0.98,0.83,0.15,0.79,0.83,-0.04,0.2,0.0,0.2,0.98,0.83,0.15,,,,,,0,1,-1,-1.15,29.0,37.46,,,43.36,0.6,1.01,90,8,12,8,20.0,7.92,23.26,2,4,12,3,15,62.1,42.8,154.93,99.31,163.37,84.14,0,Nantong Zhiyun 1-0 Suzhou Dongwu,2026-04-11
Nantong Zhiyun,0.83,0.98,-0.15,0.83,0.79,0.04,0.0,0.2,-0.2,0.83,0.98,-0.15,,,,,,1,0,1,1.15,71.0,62.54,,,46.76,1.01,0.6,262,14,8,12,7.92,20.0,7.52,4,2,28,4,9,83.0,57.2,1.07,0.69,30.8,15.86,0,Nantong Zhiyun 1-0 Suzhou Dongwu,2026-04-11
Shaanxi Union,2.01,0.76,1.25,1.57,0.76,0.81,0.44,0.0,0.44,2.01,0.76,1.25,,,,,,1,2,-1,-2.25,56.0,52.17,,,46.72,0.99,0.4,212,20,13,4,13.13,10.0,12.7,2,4,15,5,8,126.0,68.0,37.33,33.69,104.33,68.5,1,Changchun Yatai 2-1 Shaanxi Union,2026-04-11
Changchun Yatai,0.76,2.01,-1.25,0.76,1.57,-0.81,0.0,0.44,-0.44,0.76,2.01,-1.25,,,,,,2,1,1,2.25,44.0,47.83,,,49.88,0.4,0.99,191,4,4,13,10.0,13.13,14.04,4,2,8,2,14,59.3,32.0,73.47,66.31,47.97,31.5,0,Changchun Yatai 2-1 Shaanxi Union,2026-04-11
Shenzhen Juniors,1.41,1.23,0.18,1.13,1.12,0.01,0.28,0.11,0.17,1.41,1.23,0.18,,,,,,3,0,3,2.82,46.3,34.69,,,42.66,0.61,0.68,114,5,5,15,8.2,22.06,6.95,2,4,10,2,20,30.2,20.74,18.47,28.42,34.63,26.27,2,Ningbo 0-3 Shenzhen Juniors,2026-04-11
Ningbo,1.23,1.41,-0.18,1.12,1.13,-0.01,0.11,0.28,-0.17,1.23,1.41,-0.18,,,,,,0,3,-3,-2.82,53.7,65.31,,,51.57,0.68,0.61,205,15,15,5,22.06,8.2,6.65,4,2,27,7,13,115.4,79.26,46.53,71.58,97.2,73.73,0,Ningbo 0-3 Shenzhen Juniors,2026-04-11
Suzhou Dongwu,0.88,2.45,-1.57,0.84,2.43,-1.59,0.04,0.02,0.02,0.88,2.45,-1.57,,,,,,0,1,-1,0.57,49.8,54.88,,,50.0,0.39,0.84,203,10,8,15,20.51,17.86,14.91,5,4,10,3,11,65.8,45.38,30.53,66.57,76.77,48.3,0,Changchun Yatai 1-0 Suzhou Dongwu,2026-04-05
Changchun Yatai,2.45,0.88,1.57,2.43,0.84,1.59,0.02,0.04,-0.02,2.45,0.88,1.57,,,,,,1,0,1,-0.57,50.2,45.12,,,46.76,0.84,0.39,167,10,15,8,17.86,20.51,11.11,4,5,14,4,11,79.2,54.62,15.33,33.43,82.17,51.7,0,Changchun Yatai 1-0 Suzhou Dongwu,2026-04-05
Meizhou Hakka,1.03,0.98,0.05,0.27,0.45,-0.18,0.0,0.53,-0.53,0.27,0.98,-0.71,,,,,,1,0,1,0.95,40.8,39.86,,,46.34,0.15,0.73,102,6,5,13,33.33,17.81,8.67,5,6,7,1,20,36.6,24.27,41.13,76.84,43.53,33.61,3,Foshan Nanshi 0-1 Meizhou Hakka,2026-04-05
Foshan Nanshi,0.98,1.03,-0.05,0.45,0.27,0.18,0.53,0.0,0.53,0.98,0.27,0.71,,,,,,0,1,-1,-0.95,59.2,60.14,,,49.01,0.73,0.15,176,13,13,5,17.81,33.33,5.89,6,5,20,7,11,114.2,75.73,12.4,23.16,86.0,66.39,4,Foshan Nanshi 0-1 Meizhou Hakka,2026-04-05
Shijiazhuang Gongfu,0.23,1.47,-1.24,0.22,1.47,-1.25,0.01,0.0,0.01,0.23,1.47,-1.24,,,,,,0,1,-1,0.24,39.9,31.23,,,38.53,0.37,0.79,89,6,9,14,24.32,17.72,12.14,1,3,7,1,15,26.8,16.88,42.53,64.77,26.97,18.59,0,Shaanxi Union 1-0 Shijiazhuang Gongfu,2026-04-05
Shaanxi Union,1.47,0.23,1.24,1.47,0.22,1.25,0.0,0.01,-0.01,1.47,0.23,1.24,,,,,,1,0,1,-0.24,60.1,68.77,,,51.1,0.79,0.37,231,15,14,9,17.72,24.32,8.77,3,1,12,3,18,132.0,83.12,23.13,35.23,118.07,81.41,0,Shaanxi Union 1-0 Shijiazhuang Gongfu,2026-04-05
Guangdong GZ-Power,0.31,1.66,-1.35,0.19,1.66,-1.47,0.13,0.0,0.13,0.31,1.66,-1.35,,,,,,0,1,-1,0.35,52.8,52.85,,,48.48,0.39,1.17,210,12,12,15,30.77,12.82,9.58,3,2,23,12,12,85.4,47.47,43.53,48.19,72.6,44.06,2,Guangxi Hengchen 1-0 Guangdong GZ-Power,2026-04-04
Guangxi Hengchen,1.66,0.31,1.35,1.66,0.19,1.47,0.0,0.13,-0.13,1.66,0.31,1.35,,,,,,1,0,1,-0.35,47.2,47.15,,,48.56,1.17,0.39,203,16,15,12,12.82,30.77,9.88,2,3,15,6,14,94.5,52.53,46.8,51.81,92.17,55.94,2,Guangxi Hengchen 1-0 Guangdong GZ-Power,2026-04-04
Nanjing City,0.6,0.29,0.31,0.6,0.23,0.37,0.0,0.05,-0.05,0.6,0.29,0.31,,,,,,0,1,-1,-1.31,37.3,46.04,,,49.11,0.53,0.32,147,6,11,7,20.75,21.88,13.03,2,3,17,0,16,69.3,48.19,117.8,85.07,107.97,81.36,1,Nantong Zhiyun 1-0 Nanjing City,2026-04-04
Nantong Zhiyun,0.29,0.6,-0.31,0.23,0.6,-0.37,0.05,0.0,0.05,0.29,0.6,-0.31,,,,,,1,0,1,1.31,62.7,53.96,,,46.24,0.32,0.53,245,5,7,11,21.88,20.75,6.0,3,2,15,4,23,74.5,51.81,20.67,14.93,24.73,18.64,1,Nantong Zhiyun 1-0 Nanjing City,2026-04-04
Yanbian Longding,0.72,1.16,-0.44,0.69,0.38,0.31,0.03,0.03,0.0,0.72,0.4,0.32,,,,,,0,1,-1,-0.56,41.7,36.7,,,44.22,0.75,0.5,128,8,14,7,18.67,14.0,9.11,3,0,15,6,22,71.4,37.44,66.93,72.75,89.93,47.18,0,Shenzhen Juniors 1-0 Yanbian Longding,2026-04-04
Shenzhen Juniors,1.16,0.72,0.44,0.38,0.69,-0.31,0.03,0.03,0.0,0.4,0.72,-0.32,,,,,,1,0,1,0.56,58.3,63.3,,,48.23,0.5,0.75,211,11,7,14,14.0,18.67,7.53,0,3,16,6,16,119.3,62.56,25.07,27.25,100.67,52.82,0,Shenzhen Juniors 1-0 Yanbian Longding,2026-04-04
Wuxi Wugou,0.7,1.75,-1.05,0.7,0.99,-0.29,0.0,0.0,0.0,0.7,0.99,-0.29,,,,,,3,2,1,2.05,60.0,59.92,,,46.19,0.27,0.3,168,4,13,13,48.15,43.33,5.17,3,8,18,4,16,72.7,50.24,10.07,13.31,47.4,31.68,1,Ningbo 2-3 Wuxi Wugou,2026-04-04
Ningbo,1.75,0.7,1.05,0.99,0.7,0.29,0.0,0.0,0.0,0.99,0.7,0.29,,,,,,2,3,-1,-2.05,40.0,40.08,,,42.77,0.3,0.27,101,6,13,13,43.33,48.15,8.0,8,3,7,2,21,72.0,49.76,65.6,86.69,102.23,68.32,2,Ningbo 2-3 Wuxi Wugou,2026-04-04
Dingnan United,0.97,1.59,-0.62,0.79,1.57,-0.78,0.18,0.02,0.16,0.97,1.59,-0.62,,,,,,1,1,0,0.62,51.2,36.07,,,42.92,0.42,0.72,133,3,6,16,14.29,22.22,11.48,4,5,14,6,15,28.5,19.43,25.4,37.13,25.73,16.01,1,Dalian K'un City 1-1 Dingnan United,2026-04-04
Dalian K'un City,1.59,0.97,0.62,1.57,0.79,0.78,0.02,0.18,-0.16,1.59,0.97,0.62,,,,,,1,1,0,-0.62,48.8,63.93,,,47.3,0.72,0.42,159,11,16,6,22.22,14.29,9.17,5,4,18,7,10,118.2,80.57,43.0,62.87,135.03,83.99,0,Dalian K'un City 1-1 Dingnan United,2026-04-04
Changchun Yatai,0.6,0.44,0.16,0.56,0.44,0.12,0.04,0.0,0.04,0.6,0.44,0.16,,,,,,0,1,-1,-1.16,51.6,50.16,,,47.99,0.62,0.74,224,11,12,3,19.35,4.05,8.61,1,3,21,5,20,102.1,70.66,41.0,35.9,61.73,56.14,1,Shijiazhuang Gongfu 1-0 Changchun Yatai,2026-03-21
Shijiazhuang Gongfu,0.44,0.6,-0.16,0.44,0.56,-0.12,0.0,0.04,-0.04,0.44,0.6,-0.16,,,,,,1,0,1,1.16,48.4,49.84,,,46.66,0.74,0.62,173,5,3,12,4.05,19.35,8.33,3,1,11,1,22,42.4,29.34,73.2,64.1,48.23,43.86,0,Shijiazhuang Gongfu 1-0 Changchun Yatai,2026-03-21
Suzhou Dongwu,0.88,0.77,0.11,0.88,0.77,0.11,0.0,0.0,0.0,0.88,0.77,0.11,,,,,,2,1,1,0.89,40.7,47.24,,,46.01,0.33,0.44,127,4,8,11,24.24,25.0,11.59,4,2,17,5,21,57.5,43.99,99.53,94.43,120.13,80.95,0,Meizhou Hakka 1-2 Suzhou Dongwu,2026-03-21
Meizhou Hakka,0.77,0.88,-0.11,0.77,0.88,-0.11,0.0,0.0,0.0,0.77,0.88,-0.11,,,,,,1,2,-1,-0.89,59.3,52.76,,,46.31,0.44,0.33,194,8,11,8,25.0,24.24,5.83,2,4,16,2,11,73.2,56.01,5.87,5.57,28.27,19.05,1,Meizhou Hakka 1-2 Suzhou Dongwu,2026-03-21
Nantong Zhiyun,0.32,1.08,-0.76,0.29,0.32,-0.03,0.03,0.0,0.03,0.32,0.32,0.0,,,,,,1,1,0,0.76,37.4,42.75,,,47.22,0.23,0.27,111,4,6,9,26.09,33.33,9.1,3,3,13,4,28,40.2,32.74,106.07,93.87,106.83,74.74,0,Dingnan United 1-1 Nantong Zhiyun,2026-03-21
Dingnan United,1.08,0.32,0.76,0.32,0.29,0.03,0.0,0.03,-0.03,0.32,0.32,0.0,,,,,,1,1,0,-0.76,62.6,57.25,,,44.1,0.27,0.23,182,7,9,6,33.33,26.09,5.0,3,3,22,3,14,82.6,67.26,6.93,6.13,36.1,25.26,2,Dingnan United 1-1 Nantong Zhiyun,2026-03-21
Yanbian Longding,0.17,0.57,-0.4,0.17,0.57,-0.4,0.0,0.0,0.0,0.17,0.57,-0.4,,,,,,0,0,0,0.4,58.0,37.0,,,40.58,0.26,0.52,134,1,4,10,15.38,19.23,7.35,1,5,10,4,18,20.8,17.61,20.6,17.29,9.67,5.56,1,Nanjing City 0-0 Yanbian Longding,2026-03-21
Nanjing City,0.57,0.17,0.4,0.57,0.17,0.4,0.0,0.0,0.0,0.57,0.17,0.4,,,,,,0,0,0,-0.4,42.0,63.0,,,46.14,0.52,0.26,141,6,10,4,19.23,15.38,10.6,5,1,7,2,19,97.3,82.39,98.53,82.71,164.1,94.44,3,Nanjing City 0-0 Yanbian Longding,2026-03-21
Guangdong GZ-Power,1.26,2.42,-1.16,0.99,1.51,-0.52,0.27,0.15,0.12,1.26,1.66,-0.4,,,,,,3,2,1,2.16,52.2,55.0,,,49.01,0.54,0.71,207,8,14,15,25.93,21.13,7.85,2,2,13,5,20,72.4,49.05,19.13,34.12,96.1,67.06,0,Foshan Nanshi 2-3 Guangdong GZ-Power,2026-03-21
Foshan Nanshi,2.42,1.26,1.16,1.51,0.99,0.52,0.15,0.27,-0.12,1.66,1.26,0.4,,,,,,2,3,-1,-2.16,47.8,45.0,,,48.5,0.71,0.54,175,12,15,14,21.13,25.93,8.95,2,2,18,4,17,75.2,50.95,36.93,65.88,47.2,32.94,2,Foshan Nanshi 2-3 Guangdong GZ-Power,2026-03-21
Ningbo,0.28,3.25,-2.97,0.28,3.18,-2.9,0.0,0.06,-0.06,0.28,3.25,-2.97,,,,,,1,2,-1,1.97,49.2,48.22,,,45.33,0.52,0.81,151,13,5,20,9.62,24.69,6.96,5,9,14,2,22,33.2,20.72,37.53,53.06,21.43,13.0,1,Guangxi Hengchen 2-1 Ningbo,2026-03-20
Guangxi Hengchen,3.25,0.28,2.97,3.18,0.28,2.9,0.06,0.0,0.06,3.25,0.28,2.97,,,,,,2,1,1,-1.97,50.8,51.78,,,50.51,0.81,0.52,201,15,20,5,24.69,9.62,5.91,9,5,13,6,19,127.0,79.28,33.2,46.94,143.4,87.0,2,Guangxi Hengchen 2-1 Ningbo,2026-03-20
Shenzhen Juniors,0.23,3.16,-2.93,0.19,3.14,-2.95,0.04,0.02,0.02,0.23,3.16,-2.93,,,,,,0,4,-4,-1.07,63.2,58.46,,,42.46,0.23,0.5,228,7,6,18,26.09,36.0,9.13,6,11,10,4,13,85.2,49.85,6.67,4.53,14.32,6.99,1,Wuxi Wugou 4-0 Shenzhen Juniors,2026-03-20
Wuxi Wugou,3.16,0.23,2.93,3.14,0.19,2.95,0.02,0.04,-0.02,3.16,0.23,2.93,,,,,,4,0,4,1.07,36.8,41.54,,,45.63,0.5,0.23,136,5,18,6,36.0,26.09,12.95,11,6,9,3,12,85.7,50.15,140.73,95.47,190.56,93.01,2,Wuxi Wugou 4-0 Shenzhen Juniors,2026-03-20
Changchun Yatai,0.54,0.73,-0.19,0.26,0.47,-0.21,0.28,0.26,0.02,0.54,0.73,-0.19,,,,,,1,2,-1,-0.81,64.4,56.3,,,45.44,0.5,0.08,206,14,7,11,14.0,137.5,6.03,2,5,19,4,15,84.6,63.42,10.4,8.91,39.93,26.9,0,Nanjing City 2-1 Changchun Yatai,2026-03-15
Nanjing City,0.73,0.54,0.19,0.47,0.26,0.21,0.26,0.28,-0.02,0.73,0.54,0.19,,,,,,2,1,1,0.81,35.6,43.7,,,50.26,0.08,0.5,128,2,11,7,137.5,14.0,12.03,5,2,10,3,18,48.8,36.58,106.27,91.09,108.5,73.1,1,Nanjing City 2-1 Changchun Yatai,2026-03-15
Dalian K'un City,0.53,0.57,-0.04,0.52,0.54,-0.02,0.02,0.03,-0.01,0.53,0.57,-0.04,,,,,,2,1,1,1.04,46.6,46.03,,,47.04,1.01,0.7,172,16,13,10,12.87,14.29,11.53,4,6,18,4,7,101.8,64.43,69.6,82.53,146.43,93.87,0,Suzhou Dongwu 1-2 Dalian K'un City,2026-03-15
Suzhou Dongwu,0.57,0.53,0.04,0.54,0.52,0.02,0.03,0.02,0.01,0.57,0.53,0.04,,,,,,1,2,-1,-1.04,53.4,53.97,,,48.39,0.7,1.01,219,5,10,13,14.29,12.87,8.55,6,4,23,4,18,56.2,35.57,14.73,17.47,9.57,6.13,1,Suzhou Dongwu 1-2 Dalian K'un City,2026-03-15
Shaanxi Union,1.03,1.49,-0.46,0.58,0.72,-0.14,0.45,0.01,0.44,1.03,0.73,0.3,,,,,,0,1,-1,-0.54,48.8,51.6,,,47.91,0.34,0.34,198,8,12,12,35.29,35.29,9.68,4,5,18,5,13,79.4,50.51,42.0,56.7,71.93,45.0,0,Shenzhen Juniors 1-0 Shaanxi Union,2026-03-15
Shenzhen Juniors,1.49,1.03,0.46,0.72,0.58,0.14,0.01,0.45,-0.44,0.73,1.03,-0.3,,,,,,1,0,1,0.54,51.2,48.4,,,44.77,0.34,0.34,184,6,12,12,35.29,35.29,9.97,5,4,9,6,15,77.8,49.49,32.07,43.3,87.9,55.0,0,Shenzhen Juniors 1-0 Shaanxi Union,2026-03-15
Yanbian Longding,0.65,1.14,-0.49,0.65,1.13,-0.48,0.0,0.02,-0.02,0.65,1.14,-0.49,,,,,,3,0,3,3.49,43.1,26.45,,,39.52,0.33,0.49,96,4,4,10,12.12,20.41,11.41,1,1,7,0,13,19.7,12.64,62.13,71.09,79.0,60.66,0,Meizhou Hakka 0-3 Yanbian Longding,2026-03-14
Meizhou Hakka,1.14,0.65,0.49,1.13,0.65,0.48,0.02,0.0,0.02,1.14,0.65,0.49,,,,,,0,3,-3,-3.49,56.9,73.55,,,50.0,0.49,0.33,243,7,10,4,20.41,12.12,9.05,1,1,26,7,18,136.1,87.36,25.27,28.91,51.23,39.34,0,Meizhou Hakka 0-3 Yanbian Longding,2026-03-14
Guangxi Hengchen,1.59,1.18,0.41,1.53,0.29,1.24,0.06,0.13,-0.07,1.59,0.42,1.17,,,,,,1,2,-1,-1.41,63.8,65.74,,,49.42,0.4,0.19,256,12,12,8,30.0,42.11,11.73,5,2,25,9,14,141.1,81.99,13.47,12.3,75.07,55.92,2,Dingnan United 2-1 Guangxi Hengchen,2026-03-14
Dingnan United,1.18,1.59,-0.41,0.29,1.53,-1.24,0.13,0.06,0.07,0.42,1.59,-1.17,,,,,,2,1,1,1.41,36.2,34.26,,,42.62,0.19,0.4,110,6,8,12,42.11,30.0,11.19,2,5,11,4,12,31.0,18.01,96.07,87.7,59.17,44.08,1,Dingnan United 2-1 Guangxi Hengchen,2026-03-14
Shijiazhuang Gongfu,0.99,1.51,-0.52,0.86,0.97,-0.11,0.13,0.54,-0.41,0.99,1.51,-0.52,,,,,,1,2,-1,-0.48,47.4,47.43,,,51.77,0.72,0.39,211,15,10,16,13.89,41.03,10.38,6,4,14,6,11,77.0,39.73,37.93,46.45,58.8,31.03,1,Nantong Zhiyun 2-1 Shijiazhuang Gongfu,2026-03-14
Nantong Zhiyun,1.51,0.99,0.52,0.97,0.86,0.11,0.54,0.13,0.41,1.51,0.99,0.52,,,,,,2,1,1,0.48,52.6,52.57,,,50.73,0.39,0.72,240,10,16,10,41.03,13.89,9.27,4,6,28,8,17,116.8,60.27,43.73,53.55,130.7,68.97,1,Nantong Zhiyun 2-1 Shijiazhuang Gongfu,2026-03-14
Ningbo,0.26,2.89,-2.63,0.2,1.67,-1.47,0.06,0.46,-0.4,0.26,2.13,-1.87,,,,,,0,2,-2,0.63,51.0,48.71,,,45.71,0.39,0.84,156,10,8,22,20.51,26.19,7.58,8,7,23,8,14,49.1,24.97,32.93,43.03,27.73,12.36,0,Guangdong GZ-Power 2-0 Ningbo,2026-03-14
Guangdong GZ-Power,2.89,0.26,2.63,1.67,0.2,1.47,0.46,0.06,0.4,2.13,0.26,1.87,,,,,,2,0,2,-0.63,49.0,51.29,,,49.86,0.84,0.39,181,17,22,8,26.19,20.51,7.51,7,8,23,5,21,147.5,75.03,43.6,56.97,196.57,87.64,0,Guangdong GZ-Power 2-0 Ningbo,2026-03-14
Foshan Nanshi,0.5,2.84,-2.34,0.48,2.31,-1.83,0.02,0.53,-0.51,0.5,2.84,-2.34,,,,,,0,2,-2,0.34,49.2,47.51,,,45.7,0.44,0.34,165,10,6,13,13.64,38.24,9.06,6,5,19,4,13,44.5,33.61,27.93,46.04,41.8,24.22,1,Wuxi Wugou 2-0 Foshan Nanshi,2026-03-14
Wuxi Wugou,2.84,0.5,2.34,2.31,0.48,1.83,0.53,0.02,0.51,2.84,0.5,2.34,,,,,,2,0,2,-0.34,50.8,52.49,,,45.75,0.34,0.44,150,11,13,6,38.24,13.64,7.97,5,6,19,9,19,87.9,66.39,32.73,53.96,130.77,75.78,1,Wuxi Wugou 2-0 Foshan Nanshi,2026-03-14
